website	country	city
 https://www.embassypages.com/missions/embassy13204/	Sao Tome and Principe	London, Consulate
 https://www.embassypages.com/missions/embassy18129/	Slovakia	Belfast, Consulate
 https://www.embassypages.com/missions/embassy6987/	Slovakia	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy15105/	Slovakia	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy5482/	Slovenia	Belfast, Consulate
 https://www.embassypages.com/missions/embassy14997/	Slovenia	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy1834/	South Africa	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy1801/	South Africa	Brighton, Consulate
 https://www.embassypages.com/missions/embassy1836/	South Africa	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy1794/	South Africa	Leeds, Consulate
 https://www.embassypages.com/missions/embassy1783/	South Africa	Manchester, Consulate
 https://www.embassypages.com/missions/embassy1789/	South Africa	Southampton, Consulate
 https://www.embassypages.com/missions/embassy8747/	Spain	Birmingham, Vice Consulate
 https://www.embassypages.com/missions/embassy13779/	Spain	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy13780/	Spain	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy22991/	Suriname	London, Consulate
 https://www.embassypages.com/missions/embassy11279/	Sweden	Belfast, Consulate
 https://www.embassypages.com/missions/embassy11281/	Sweden	Brighton, Consulate
 https://www.embassypages.com/missions/embassy11283/	Sweden	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy11284/	Sweden	Dover, Consulate
 https://www.embassypages.com/missions/embassy11285/	Sweden	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy11286/	Sweden	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy11287/	Sweden	Grimsby, Consulate
 https://www.embassypages.com/missions/embassy11296/	Sweden	Jersey, Consulate
 https://www.embassypages.com/missions/embassy11290/	Sweden	Lerwick, Consulate
 https://www.embassypages.com/missions/embassy11291/	Sweden	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy11292/	Sweden	Manchester, Consulate
 https://www.embassypages.com/missions/embassy11293/	Sweden	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy11294/	Sweden	Southampton, Consulate
 https://www.embassypages.com/missions/embassy11295/	Sweden	Stornoway, Consulate
 https://www.embassypages.com/missions/embassy7769/	Switzerland	Belfast, Consulate
 https://www.embassypages.com/missions/embassy25231/	Switzerland	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy25232/	Switzerland	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy7771/	Switzerland	Manchester, Consulate
 https://www.embassypages.com/missions/embassy25230/	Thailand	Cardiff, Consulate
